date,predicted_expense
2024-04-01,39876.42907491942
2024-04-02,41094.79638458224
2024-04-03,42200.23505718389
2024-04-04,43153.462401230456
2024-04-05,43921.84809067691
2024-04-06,44480.840266752864
2024-04-07,44815.03857200384
2024-04-08,44918.86721981105
2024-04-09,44796.818683022255
2024-04-10,44463.257351331056
2024-04-11,43941.7917385193
2024-04-12,43264.24267711854
2024-04-13,42469.252595335216
2024-04-14,41600.596657510934
2024-04-15,40705.2695793844
2024-04-16,39831.43173350777
2024-04-17,39026.304309867155
2024-04-18,38334.1055232877
2024-04-19,37794.11806526334
2024-04-20,37438.97226183909
2024-04-21,37293.21997178533
2024-04-22,37372.26155255655
2024-04-23,37681.67279077154
2024-04-24,38216.96121358254
2024-04-25,38963.76243129594
2024-04-26,39898.467930129904
2024-04-27,40989.25687755285
2024-04-28,42197.48684535839
2024-04-29,43479.382669204846
2024-04-30,44787.949633353564
